"text_object","containsMention_category","weekday_category"
"but i’d be remiss if i didn’t mention something about checking a pplat",1,3
"fake president real indictments life in prison",1,3
"""looking at beauty in the world is the first step of purifying the mind"" amit ray",0,3
"thank you for the chance <u+fa>",1,3
"i just donated to pizza to the polls to help keep democracy delicious this year you should too…",0,3
"i love to see other people happy but i be wishing i was happy like that honestly",0,3
"kim seokjin i followed and i vote for rm of bts twt for biggestcrush at tdyawards",1,3
"rt ""it is never too late to be what you might have been"" – george eliot – ""<u+e><u+e><u+e><u+e><u+e><u+e><u+e><u+e><u+e><u+e><u+ea><u+e><u+e><u+e><u+e><u+e><u+e><u+e><u+eb> <u+e><u+e><u+e><u+e><u+e><u+e><u+eb><u+e><u+e><u+e><u+e><u+ea><u+e><u+e><u+e><u+e><u+e><u+e><u+e><u+e><u+e><u+ed><u+e><u+e><u+e><u+e><u+e>…",1,3
"btssvt i’m sure that you look so cute when you blush it’s true you’re adorable <u+fa>",1,3
"well then",0,3
"i believe that holmes wanted to critique it as he often critiques colonialism but be…",1,3
"rt and ya know if that doesn’t jive with you well feel free to go to where all past members of paramore have gone which…",1,3
"rt thanks <u+fa> my sister i feel also something bad is coming he may command marshall law to stop the v…",1,3
"catastrophic consequences australias home affairs minister peter dutton warns against cyberattacks on…",0,3
"rt when a pretty girl calls me pretty",1,3
"omg i cant wait for this one",0,3
"rt drop off your ballot if you haven’t mailed it in yet",1,3
"youre welcome ",1,3
" yeah",1,3
"rt @vaskerr vmin and ancient greece",1,3
"rt social media isn’t synonymous or interchangeable with fabricated stories or fake news humans have always made things u…",1,3
"rt kazakhstan death penalty is only for serious crimes murder terrorism and putting pineapples on pizza",1,3
"rt warning the largest vehicle of disinformation <u+f>",1,3
"mary he left washington before impeachment",1,3
"wow where do we begin dissecting this catastrophe",0,3
"rt myke towers never disappoints",1,3
"rt i’m super hurt bullets took away a father to children rip walter wallace jr",1,3
"good he deserved it what a pos",1,3
"rt new cnn national likely voter poll white men w no college degree trump % biden % everyone else biden % trump …",1,3
"<u+fd><u+fd><u+fd> y doe",1,3
"rt oh my god the tiktok generation has has enough of their maga parents",1,3
"rt paul thousands of people left out in the cold and stranded in omaha nebraska after a trump rally i’m told the shuttles aren’…",1,3
"whos your funniest moot",0,3
"rt “i want to see you and hug you tight”",1,3
"rt big energy",1,3
"isobel hines those aren’t the only two…",1,3
"sell them haha",1,3
"yes it was a spoiler bc i couldnt fucking post my edit yesterday i hate it here",0,3
"thank you so muchhh<u+><u+fef>",1,3
"i have never seen you hit not once",1,3
"rt too much goin on in my life rn and i jus wanna disappear<u+f><u+f><u+ffc>",1,3
"pgh blue doesnt exist anymore to believe it does is delusional",1,3
"still here this time running old raids and dungeons and farming mounts",0,3
"rt wild white arctic fox in greenland by stefan forster",1,3
"rt i know i’m going <u+fd><u+fd><u+fd><u+f>",1,3
"nina nails update for autumn with dried flowers <u+f>",0,3
"mountain view sudowoodo % cp l rock throw earthquake till verified m s",0,3
"rt mason greenwood <u+bd><u+fef> marcus rashford <u+bd><u+fef> <u+bd><u+fef> anthony martial <u+bd><u+fef> paul pogba <u+faf> bruno fernandes <u+faf> no manchester united f…",1,3
"i have this new lady doing my hair and i wonder is she’s reading all the inappropriate shit i’m texting",0,3
"rt respect to my brudda <u+a><u+ffd><u+fa> ",1,3
"rt for everyone who predicted doom for us in scotus or thought our legal strategy was inexplicable i am accepting apologies",1,3
"yeah i have one tomorrow morning rapid results are all out though so i gotta quarantine for at least an…",1,3
"when i get married i want to walk down the aisle to ""holy matrimony letter to the firm"" by foxy brown dj make sure that track loop",0,3
" i followed and i vote for rm of twt for biggestcrush on tdyawards",1,3
"rt “i’m so pro life i’m willing to murder real human beings”",1,3
"rt there will never be another jennie kim",1,3
"rt after i say excuse me two times",1,3
"rt ‘’singing and dancing in front of army is the reason i exist’’ jeon jungkook the way he looks at armys is the most b…",1,3
"of course he did he doesn’t look real",0,3
"i need opinions what should i draw next? ill draw them all but which one should i draw first?",0,3
"rger i just saw em lol",1,3
"rt i am literally shaking with rage at your disgusting language elon i’m a youth football coaching legend and…",1,3
"rt bts took three weeks to get these and non of these had a cover it was just scattered in front of the entrance of cou…",1,3
"rt terrence kamala harris is an actress she deserves an award for this performance raise your hand <u+f> if you think she is so fake ht…",1,3
"’ tor nyc pozuelo <u+e> morrow is thwarted by a last minute block by nycfc tfclive | torvnyc",0,3
"not even one diamond per ring kwiz truly rich",1,3
"sooo precious <u+fa><u+f>",1,3
"rt dont put politics above god dont put your feelings above god dont put your opinions above god dont put your emotion…",1,3
" thanks nico",1,3
"lmao <u+f> or not wear shit like that on a public social media to get comments like these??? til you look…",1,3
"rt the concept of ""layers of protection""applies to aerosol transmission but also applies to all the other measures to con…",1,3
"i love themaldi is the best",1,3
"so it’s supposed to rain something fierce tomorrow and i def told my boss if it pours like they are saying i’m not coming",0,3
"rt retweet if you like tommy and tubbo help people to find moots ",1,3
"rt do not mail any more ballots carry them in or use a drop box we are now week away some of my mail has been taking …",1,3
"inside a biden v trump marriage ""you woke me up one night i was sleeping and you were like do you really…",0,3
"hahaha thanks i just had to",1,3
"rt only <u+fef><u+e> players have come off the bench to score a hat trick for mufc here is a picture of both of them <u+f>",1,3
"rt tae wizone even gifted diamonds rings to izone too ahhhhhhh izone <u+c><u+c><u+c><u+cd> izone",1,3
"rt mes mnet kingdom will reportedly begin filming in january broadcast february ",1,3
"rt thrilled to be joined by tonight in phoenix to get out the vote with so much at stake as long as we make ou…",1,3
"rt sen kamala harris meets with latina business owners in tucson az",1,3
"rt black british footballers <u+fd> doing more for the country than elected politicians",1,3
"people preach about laca link up play like it’s the best thing since slice bread laca hardly links up play and is mid at it",1,3
"thank you to and edu for coming out to support all of trivia this week all the kids and famili…",1,3
"rt art catsupyart artists just wanted to draw pink eyes before i headed out today",1,3
"rt only <u+fef><u+e> players have come off the bench to score a hat trick for mufc here is a picture of both of them <u+f>",1,3
"but is it a comedy or horror flick<u+f>",1,3
"rt in polite society we earn each other’s respect how you personally conceive of your gender doesn’t interest…",1,3
"<u+> how b gain confidence",0,3
"rt fighting discrimination should be a concern to all christians",1,3
"rt islamsecretswatchlive godmorningthursday surah al furqan kabir created the universe in days and sat on th…",1,3
"rt my video with drops this friday at pm kst am pt am et set a reminder using this premiere link so you do…",1,3
"mean mug on <u+f>",0,3
"rt now that this guy and of his guys at adeniji estate has been arrested can the security agencies expedite actions and…",1,3
"rt wayv at their sm ent princess party",1,3
"rt throwback to shin soukoku looking this perfect for new years &lt",1,3
"both about even but i do like to do for my man so <u+f><u+ffd><u+d><u+><u+fef>",0,3
"rt million left to million lets get it as soon as possible <u+ff> <u+fce> twice <u+db><u+c><u+c><u+ca>",1,3
"she do be very cute tho <u+fa>",1,3
"rt erykah badu brandy and her ate this cypher",1,3
"for someone that talks an awful lot about bankroll management $?",1,3
"because there is no story",1,3
"yellow bus silksheersocks sheersocksmen sheersocks japanesesheersocks silkysmoothsocks mensheer…",0,3
"dow down covid running rampant no plan joe biden is the answer trump can’t lie h…",1,3
"i’ve seen three if you count sharing an elevator with def leppard in perth australia",1,3
"mamma lol the drama runs deep in you",1,3
"mine vs anthony’s <u+f>",0,3
"i’m bout dyslexic as hell",0,3
"thats fun",1,3
"are you gatekeeping a public news article <u+fd>",0,3
"if that is acceptable can this one be too? like chanyeol is carrying me too<u+f>",0,3
"rt you deserve someone who cant wait to talk to you and spend time with you and get to know you and fall in love with you ple…",1,3
"we settled this issue twice once in and again in brits never learn",0,3
"my parents got divorced and im fine i say as a hold a full pint of box wine",0,3
"rt voting early is easy get out and do it dont wait to save democracy i done dood it wednesdaywisdom",1,3
"my lil pitty",1,3
"rt retweet jaime harrison will defeat lindsey graham in days",1,3
"if you dont like your job quit",0,3
"caps definitely but you shed guys like dillon and jensen before orlov also oshie…",1,3
"rt covid has struck my family’s small “bubble” <u+f>",1,3
"ok u reached k time to unfollow",1,3
"how can fin type on that its only buttons",1,3
"rt sometimes taking a step back is the first step forward",1,3
" molchat doma icpeak twice mrc thy art is murder mother mother nct ploho stray kids …",0,3
"lmao that was so dramatic",1,3
"rt you know what i think about how did eleanor sign that contact agreeing on this? like she must be heartless if i got offere…",1,3
"its sad how long i had to dig through my bookmarks to find that clip<u+f>",0,3
"rt we are lost weve lost so much in so short a time on november rd vote them out hear more ht…",1,3
"forner it’s been a week but rr made it a little better",1,3
"rt thank you for voting taylor swift as artist of the year at the amas <u+><u+fef>",1,3
"i completely forgot…",1,3
"rt fred’s game by numbers vs rb leipzig total touches final third passes fouls all in middle interceptio…",1,3
"aw~go with it~anyway",1,3
"your listening to the breakdown radio show with isaac whitaker crystal cross and tesharah on charging station radio",0,3
"im squeezing my dick hella hard thinking about you bouncing on my nuts like a frog or perhaps a toad",1,3
"rt just spoke to a brother in france who runs an institution that is amongst the many suddenly finding themselves under a…",1,3
"rt really have to go now here’s rosé’s campaign video for ysl <u+fa>",1,3
"earlier today",0,3
"rt breaking i caught up with congressional candidate mauro garza in san antonio to ask him about his connection to “ballo…",1,3
"""piers as in piers morgan <u+f>"" <u+f> <u+><u+><u+><u+fef> no",0,3
"rt if the secret service showed up at my door and accused me of being antifa i would simply shut the fuck up…",1,3
"rt which of joe bidens tweets should be censored senator?",1,3
"rt the bigger the vote the harder it will be for trump to declare the election fraudulent vote",1,3
"my poor mabscessus",1,3
"rt me enjoying my life knowing that nothing is going well",1,3
"rt we’re voting for their future",1,3
"right? elizabeth warren george takei etc",1,3
"<u+f><u+f><u+f> i can’t exercise anymore i going and do a tummy tuck ahhhh fed up <u+fe><u+fe><u+fe><u+fe>",0,3
"rt deleted code is tested code on abandoning the x server",1,3
"es accurate",1,3
"rt amas stats for favorite music video l g and a g k taylor swift k retweet = val…",1,3
"im at sapanca",0,3
"rt remember the election is a job interview wouldyouhiretrump vote",1,3
"rt trans people have existed everywhere for as long as people have existed yall just try really really hard not to notice…",1,3
"rt some of you are out here treating this like it’s supposed to be free <u+f><u+f>",1,3
"rt special counsel",1,3
"rt why isn’t biden corruption trending number one on twitter? biggest world story and nowhere to be found there is no”t…",1,3
"rt hear free sample? a playlist on soundcloud you haven’t listened to this wtf are you doing<u+f>",1,3
"why are you telling us to watch this? people like you are put in place to conspire and eliminate brave people like…",0,3
"it’s been yearssss he’s not tired?",1,3
"rt rule for moving on don’t check their socials lol simple",1,3
"poirier lol it is so insane it’s like a tv show",1,3
"rt my immune system been holding it down this whole pandemic i’ll give sis that",1,3
"im officially over zeta just end already sheesh youre like a party guest who rides too hard passes out for a b…",0,3
"rt after youve read our review dig into the story behind the making of blonde",1,3
"the bbq papadia from is the best menu item pizza from any pizza restaurant maybe ever tough to compete",1,3
"the non exols trying make this big deal about it when it came from koreaboo",0,3
"rt these are the funniest videos for all the wrong reasons",1,3
"got snitched on by a neighbour for having friends round for my birthday <u+f> maybe ill try the lottery",1,3
"passing out into his arms is rule ",1,3
"congratulation whoop",1,3
"rt shut up i made this and now im in a happy mood",1,3
"this bitch is crazy <u+fd>",0,3
"rt [sbken] hi there <u+f> sbbillboardnewpeaks",1,3
"rt ctvs has the latest on the unrest in philadelphia which us presidential candidate joe biden has touched on…",1,3
"rt when the guy is the lovey dovey one it just makes it so much better tbh",1,3
"my paw outside storm chasing",0,3
"rt spot the kitty same one from yesterday",1,3
"rt amazing view <u+fd>",1,3
"rt history <u+fc>i vote for taehyung from bts twt for bousnidstars bousnid",1,3
"bed timeeeee",0,3
"i really turn tomorrow <u+f>",0,3
"joined <u+f>",1,3
"savages we are importing daily",0,3
"playing heal off makes you pretty gay",1,3
"hopefully a new president",1,3
"rt i am glad you have highlighted this issue there are approximately &gt physicia…",1,3
"youre wrong dave if someone with stage cancer dies after catching pneumonia t…",1,3
"my instagram post archives is a gold mine lol i used to post gems",0,3
"real ninja with the blade and the mask",0,3
"rt bet hiphopawards best collaboration winner savage remix by and ",1,3
"rt veritas are you ready?",1,3
"rt in days more than million tennesseans voted early a turnout that ""smashes"" the states early voting record for t…",1,3
"rt if you vote for biden your kids will not be in school there will be no graduations no weddings no thanksgiving no…",1,3
"welcome to the family <u+fa> <u+fc><u+ffc> xboxseriesx",1,3
"renegado cannabis",1,3
"rt alright give me your best idea of what could be happening here caveman on a modern bike at hyper speed is my guess htt…",1,3
" years ago today we got these bad boys love them to the moon and back",0,3
"in love wallah <u+><u+fef>",0,3
"rt look at these young voter age early turnout whewwwwwww in texas in texas ",1,3
"rt our resident tyongf and adopted son he said ""leader"" <u+fe> first to mention ruby after her passing bhs lighbulb is his fav…",1,3
"they’re so toxic",1,3
"yall better say happy birthday to or else <u+fb>",1,3
"rt yep that’s a verified boom",1,3
"kinda easy to interpret",1,3
"i love you so much ",1,3
"rt u too<u+>",1,3
"do what you say say what you do people might start to appreciate it if it becomes a habit",0,3
"rt we will end surprise medical billing require price transparency lower drug prices even more protect social security…",1,3
"i have executed my plan to vote how’s yours going? bidenharris makeaplantovote joementum",0,3
"if color white combines all colors of the solar spectrum has the color of snow milk wax candles…",1,3
"rt dembele when he see that aurthor is trying to get the ball from him and pjanic is passing the ball to messi<u+f><u+f><u+fd><u+f> juvebar…",1,3
"please wont someone think of the poor downtrodden multi billion dollar corporations?",1,3
"rt dawg what was rick ross on lmaoooo",1,3
"no bullshit <u+f><u+fe> he deflee finna have him a goodnight",1,3
"rt policebiker now the clocks have gone back the evenings are getting darker a lot earlier i’m amazed at the number of cyclists aroun…",1,3
"rt rudy giuliani admits to possessing child pornography and that hell show it to people",1,3
"rt amtunechi yeah they are excluding one ",1,3
"finally gets his win in im sooooo happy for you kyle well done badass man",1,3
"acb still hotter",1,3
"rt i wish i lived in a country where john kelly james mattis john bolton and miles taylor had at least half the balls of s…",1,3
"rt here is a robot that auto recognizes ""trick or treat"" via speech or text and vomits candy into waiting hands so you can…",1,3
"wonho thank you <u+><u+fef>",1,3
"well you got “simple” right",1,3
"i have several candidates ""he lived he laughed he loved he lost he left"" ""father brother son…",1,3
"rt "" but on nights when he wasnt interviewing bts"" <u+fd><u+f>",1,3
"rt quit playing with george top",1,3
"veteran sublime",1,3
"texas <u+ff><u+ffc><u+ff><u+ffc><u+ff><u+ffc> <u+fe> <u+fa>",0,3
"he’s done it kyle busch wins in ",0,3
"rt s dye has surpassed m streams on spotify",1,3
"whats going on ? <u+f>",1,3
"dixon mo at pm temp °f visibility miles wind mph wnw barometer in",0,3
"rt fuck dumbo ears but were not gonna act like yall werent cracking jokes about how yall want irene to yell at you how…",1,3
"rt i just started my picnic business and would appreciate if you would follow my page on instagram picnics…",1,3
"ryza thank you ga ily imy",1,3
"wind mph barometer in steady temperature °f rain today in humidity %",0,3
"sigh <u+f>",1,3
" that nigga on sum other shit",1,3
"i love when cute girls tell me i’m full of shit &lt ugh",0,3
"let me know how it goes",0,3
"rt i’m voting for bts twt for favorite duo or group pop rock at the amas rts cuentan <u+fc>",1,3
"rt united <u+fc><u+ffe> i swear i do smile i promise lol awb <u+f> mufc",1,3
"am and yes u are",1,3
"rt not only is minimizing the deaths of missourians he’s also minimizing the profound impact covid ha…",1,3
"is literally a breath of fresh air i’m so glad she’s out and thrivingggggggg <u+><u+f><u+fa>",1,3
"i think you’ll faint lol",1,3
"rt google maps ten steps hoseok gay caffeinated",1,3
"you want this power? then come try and take it",1,3
"if i’m a paying customer you are not doing me a favorim doing you a favor by utilizing your servicespipe down bitch",0,3
"that being said i’m in orlando currently and have yet to be so concerned about getting covid even with my system",0,3
"analieze what a great role model you are for young writers or creatives tenacity and perseverance pays off",1,3
"rt aespas rd member info stage name ningning name ning yizhou birthday october nationality chinese trainee…",1,3
"top indispensable technologies of modern workspaces cre cretech technology tenanttips",0,3
"you can feel when you’re not giving or feeling welcomed somewhere i mean you should be able to if you had any sense of awareness",0,3
"rt demon baby convincing satan obeyme obeymemc obeymeshallwedate obeymesatan",1,3
"rt january sickotrump is no longer president president biden and vp kamala harris are holding their first m…",1,3
"rt joe biden is an active national security threat <u+fa>",1,3
"yup needs to step up to the plate and start communicating more to their community and inves…",1,3
"rt if trump could get $ million of his debt canceled for his bogus real estate deals please dont tell me we cant cancel…",1,3
"follow me back",1,3
"this year saquon hurt sanders was doing good but hurt zeke fumbling machine gibson just a rookie…",1,3
"rt wow kamala advertises tucson rally for days about a dozen cars turn out across the state over turn out to s…",1,3
"rt isss cold denna bishh outside fr cuhh",1,3
"uh maaaybe",0,3
"rockwall texas october ",0,3
"o naughtylist days until naughty list hey did…",1,3
"i almost feel sorry for him almost joe biden is the swamp",1,3
"rt more scotus election news the court in a vote leaves in place a six day extension of the deadline for absentee ballo…",1,3
"rt dese be behind de scenes pics ov wen me woz doin me peakyblinders fotoshoot <u+ff> westie zshq dogoftwitter",1,3
"rt all media and culture is being privatized by rentier platforms they have created a factory system for cultural production…",1,3
"how many syllables does the word cauliflower have when you say it",0,3
"thats it you mentioned dostoevskyyoure my hero",1,3
"rt seventeen really went all out on the production of semicolon they had different sessionists come in for t…",1,3
"alone alone alone with my wave has the soul <u+fad>",0,3
"official obviously [he leans his head on top of yours]",1,3
"movies that keep you up at night&gt&gt&gt",0,3
"rt hanke has failed nigeria is in the grip of chaos bandits control major highways the government can’t protect its o…",1,3
"it’s still a conservative majority and barrett know we’d impeach her in jan if sh…",1,3
"rt i hate texting come live with me",1,3
"rt the thing with privatelives is it has a different kind of storytelling the timeline goes back and forth from the past…",1,3
"rt the way non exols especially that damn fandom jumping to hate on him just for your information if he decided to sue your…",1,3
"uh box braids ??",0,3
"not for gary",1,3
" your song break my heart by dualipa is playing in a few mins on hits listen @",1,3
"rt never in my wildest dreams did i imagine that a wannabe dictator would come to power in america that i’d spend years of…",1,3
"your not fit to tie his shoe laces your disrespecting an actual journalist who puts effort into his work…",1,3
"me tweeting nonsense but thanks <u+><u+fef><u+><u+fef>",1,3
"rt just a reminder philadelphia has a citywide curfew starting at pm we will boost legal defense and bail resources und…",1,3
"rt oh to be bunny sleeping on pumpkin",1,3
"you’re obsessed with them",1,3
"rt too much goin on in my life rn and i jus wanna disappear<u+f><u+f><u+ffc>",1,3
"love u",1,3
"wait how’d u solve it",1,3
"u look so good",1,3
"tired no one cares if trump lied about trying to do deals in russia lied about extensive contacts between his ass…",0,3
"awhile back on tumblr someone made a callout on someone actually posting csem and told ppl including minors to go…",0,3
"finally after pila ka months request fridaylivestream sb rtday",1,3
"killing the minimum wage employee here to unclog your toiletto own the libs",0,3
"this is amazing ",0,3
"me when im absolutely not even close to the best forward air in the game",1,3
"rt cristiano ronaldo vs roma | the day roma players begged him to stop dribbling | now you see now you dont <u+f> ucl …",1,3
"better setup in obs <u+f> had a ton of fun today with playing both cod and phasmo <u+f>",1,3
"rt song xavier wulf tokyo drift remix thanks for the love",1,3
"what was that incredible old film about a dystopian society bunch of alphanumerics?…",1,3
"rt finals of open starting now best of come tune in beezy w the braids must see vs …",1,3
"rt i dunno i think i will pick the party that wants everyone to vote",1,3
"anyway i can pay my own orders bye",0,3
"rt this is why this election is personal to me has done nothing wrong yet trump’s supporters want him arrested…",1,3
"that shit go crazy bruh miguel be whoopin on niggas <u+fd>",1,3
"rt ping rt for mutualan rep link for mutualan ig",1,3
"rt my girl finna get me right",1,3
"rt such a prestigious award <u+fd> well deserved <u+fd> congratulations <u+fd><u+f>",1,3
"i entered the daysoftoys sweepstakes and want to share the joy they’re giving away toys featured on g…",1,3
"rt today i stopped by our beloved community health center plaza del sol to get my flu shot how do flu shots help…",1,3
"rt brett kavanaughs stunningly ignorant supreme court opinion contains significant factual error",1,3
"hell ya",0,3
"i guess you deserve one win a year haaaa at least you are not in the playoffs",1,3
"rt the guy can’t organize a shuttle you think he can organize a national reponse to a pandemic trumpcant",1,3
"if the pels could afford ibaka should they sign him to replace favors?",1,3
"rt se marea <u+f><u+f><u+f>",1,3
"josh i saw on spotify until march but who knows if it will happen",1,3
"rt this is what non women with uteruses have to deal with in the healthcare system this is the nd time i’ve had to go thr…",1,3
"rt great video essay on the various mutiny films by the ever adroit mr bill scurry",1,3
"rt i deserve top tier not bare minimum",1,3
"tw drugs does anyone take lexapro im taking it for the first time rn whats it like <u+fe>",0,3
"bitch i thought we was gone steal a bus",0,3
"rt time for the nyts bi monthly celebration of communist tyrannies this time its east germany for loving angela davis h…",1,3
"rt can you let senior white house advisor know that i agree with her? she blocked me because she didn’t want differe…",1,3
"beth harmon’s fit game <u+faf>",0,3
"rt <u+ff><u+fef> i vote for taehyung from bts twt for bousnidstars bousnid",1,3
"rt were proud to share that borderlands has been certified on playstation and xbox series x|s get ready because we are…",1,3
"rt rashford top scorer pogba joint top assister <u+fb>",1,3
"sucks man but we move onto the next one",1,3
"idk she has other friends",1,3
"good morning brie<u+> have a nice dayy^^",1,3
"my dad got me more skulls for my birthday best part? he did extensive research to ensure the skulls were ethically…",0,3
"i understand that covid has taken a toll on all of us healthcare workers but when someone brings in their family m…",0,3
"rt vermonts secretary of state formally asked supreme court justice brett kavanaugh to correct an opinion he wrote monday that mista…",1,3
"baby",0,3
"screams",1,3
"lana how i hate those guys",0,3
"rt “you’re accusing a captive population who has been robbed of everything of looting i think it’s obscene” james baldwin…",1,3
" i had a sound blaster card with that same soundpffft",1,3
"bear violeta i followed and i vote for rm of bts twt for biggestcrush on tdyawards",1,3
"babe omg <u+fa><u+fa> i love you to the moon and back <u+fc>",1,3
"rt you have so much power",1,3
"i always knew you were a real one<u+fd>",1,3
"rt mood",1,3
"they left everything hanging except hanging a mask",1,3
"rt liam payne supremacy",1,3
"cant move forward unless the whole "" intel agencies agree"" conspiracy thing gets rejected",1,3
"<u+f><u+f><u+f> woohoo <u+f><u+f><u+f> much love dear nancy <u+f><u+f>",1,3
"rt join flagship ceo and chairman and co founder tx in a live session about moderna…",1,3
"rt i hate when that happens",1,3
"rt siskind it was so obvious from the confirmation hearings that kavanaugh was a mediocre white man unqualified for our nation’s high…",1,3
"naughtylist days until naughty list",1,3
"rt ihave no words for this oneit actually enraged me very badly",1,3
"rt im tired im stress im hurt but im fine",1,3
"kpop needs you",0,3
"and all my uggs were thrown out by someone <u+f><u+f><u+f>",1,3
"rt nah this funny as hell <u+fd><u+fd><u+f>",1,3
"yes it does i’m lucky enough to where i don’t interact with them unless i have to or want to but…",1,3
"rt i act soooo hard but i just wanna be babied and loved on lmaoo",1,3
"you entitled clown",1,3
"we keep smiling tho ggs &lt",1,3
"eclipsing is everything wish though you would have flaunted the rumored mhz for maximum impact p…",1,3
"pitiful little boy you support",1,3
"bevause bakugo has a big di— personality ",1,3
"rt @kingthebarber sad part be this generation ain’t built on loyalty it be built on attention",1,3
"rt we ly fae <u+fc>",1,3
"good morning zel have a wonderful day<u+f><u+f><u+f>",1,3
"is it weird to have milk and cereal at am",0,3
"rt <u+fb> good to see you again arthur <u+fe><u+ff>",1,3
" states have hospitals at capacity",1,3
"i had to work w my ex friend in this lab and she kept saying bitchy comments abt everything i said or did and my ot…",0,3
" silk city",1,3
