text_object,containsMention_category,weekday_category
"rt @asure [rt this and drop yours] mamavote treasure",1,5
"lauraya ""find what you love and let it kill you charles bukowski sbonmtvlivestream sb """,1,5
"hmm i never believed id be saying this about davido but i love this man",1,5
"rt if anybody looking to get me anything for christmas i want a glock<u+f> w the piece too pls",1,5
"rt mood",1,5
"rt mama’s fan choice awards mamavote treasure",1,5
"twenty ways to see the world",0,5
"i’m just so flabbergasted",0,5
"rt are you really from jersey then ? <u+f>",1,5
"rt beautiful tribute from her husband james to yesenia aguilar a disneyland cast member who was killed by a drunk driver this su…",1,5
"too many times to remberall good though",1,5
" reps the scottish kieran gibbs",1,5
"rt <u+fef><u+e><u+fef><u+e> hours gogators <u+fa>",1,5
"this sounds rlly cool but i dont think i can do it<u+fd> anyways for anyone joining it have fun ig d",1,5
"rt sb getting ready for a little intrasquad <u+fe><u+f> dreambigactbigbebig family",1,5
"rt we are live on our new video trumpsdeadlysins watch and share by clicking on the tweet below",1,5
"rt why is nobody giving me the attention i need ????",1,5
"rt the great symbiote hive",1,5
"mark",1,5
"hahah why?",1,5
"great project ",1,5
"rt how many rts can we get? mamavote blackpink",1,5
"daily rain report for my station at pm daily rain max rain rate at n a",0,5
"two more days and then christmas music <u+f><u+fb> <u+a><u+fef>",0,5
"rt sun … youtube live<u+fe>",1,5
"i was afraid of that dont worry youre not the first",0,5
"hiding under my pillow cos light hurts my eyes and head",0,5
"rt matchups turnovers figure to be key in vs duke football on saturday",1,5
"hes always been a trump supporter havent shopped at one in years anyways",1,5
" umm shutup <u+fd>",1,5
"rt @noorxa i promise you will never regret retweeting this",1,5
"rt home depot co founder bernie marcus trump deserves a second term and has my vote heres why | fox news",1,5
"safely",1,5
"rt prime minister jacinda ardern said she had voted in favor of both referendums",1,5
"rt mnoone when her thoughts come everything else turns numb",1,5
"join the zoom call pm pst",0,5
"rt no accused keir starmer of being “a shameless opportunist playing political games in the middle of a global pandemic” w…",1,5
"rt [esp] no hit any% hand solo teclado dia world first suframos juntos ",1,5
"our latest blog post explores how school leaders and staff can create an emotionally safe environment for their st…",0,5
"rt big news the party continues with a new arashi video on the fridaylivestream in about minutes…",1,5
"rt @goldenlouis hot girls dont tell other women what to do with their bodies<u+f><u+f>",1,5
"rt nj governor says no covid outbreak links to trumps bedminster event",1,5
"people from the are built different",0,5
"rt a black woman inadvertently drove into a protest scene philly cops pulled her from her car and beat her in front of her t…",1,5
"this is a power couple",0,5
"done",1,5
"rt may th i was sexually assaulted by this guy named james aka slutt slutt grandpa who’s from charlotte been called…",1,5
"my sister fucked it up she said ""what if we die and it his fault"" like bruh now she coming with im never going…",0,5
"cazador yes yes",1,5
"blocked",1,5
"im readyyyyyy i followed and i vote lisa for biggestcrush at tdyawards",1,5
"rt resonance pt spoiler? <u+f> chenle <u+ccc><u+bec> <u+fb><u+e>",1,5
"rt better to say nothing than not to the purpose and to speak pertinently consider both what is fit and when it is fit t…",1,5
"oh my god that time gene dressed as queen latifah for halloween i love this damn show so much",0,5
"rt an important reminder as millions of folks across the country vote early or make plans to vote on november you have the…",1,5
"its okay if i double my average chapter wordcount halfway through the story right",0,5
"rt bts <u+bc><u+dc><u+cc><u+b><u+be> btsbe &ltlife goes on&gt am est pm kst lifegoeson",1,5
"rt you get to determine what a successful life is for you you get to choose what happiness is and how to make it how to a…",1,5
"i love one man and one man only and that man is christopher velez",0,5
"rt day impostor",1,5
"rt cant wait for atsunoya rising next week",1,5
"theyre so cute i lick",1,5
"this is the only good thing to happen in ",0,5
"rt be releases nov and bts will be performing the lead single lifegoeson at the ama’s on nov ",1,5
"rt these halloween costumes are awesome<u+f>",1,5
"rt president obama used to say that “if you wanted to see something really screwed up give it to joe biden to do” in fa…",1,5
"rt i am going to tweet this every single day until november ",1,5
"todays almanac high of |low of |pcpn in |sn ",0,5
"sucks my bloody valentine donuts and liquid swords",1,5
"top reasons you may need a trust financialplanning retirement retirementplanning sanantonio texas…",0,5
"rt “so when you consider your vote this year remember this in this election people of faith have no greater champion than presiden…",1,5
"<u+fe> if u eat liver you eat people dat shyt taste like mufuckas<u+c><u+fef>",0,5
"rt ""i tried to get my fellow journalists to capitulate to the tech oligarch and failed but at least i can lie about it""",1,5
"lamar hasnt really been lamar latelyshould we be worried this week against that tough steelers d?…",0,5
"<u+ff><u+ff>your impact",1,5
"live your life in a way that will make you proud to say your name as your actions will attribute weight to it",0,5
"rt twice and m countdown ""up no more"" on naver tv <u+db><u+c><u+c><u+ca> eyeswideopen icantstopme",1,5
"members thankyou for this<u+f><u+><u+fef> enhypen is coming <u+cd><u+d><u+c><u+d> enhypen borderdayonedusk…",1,5
"rt this thread is now at stories of young people under the age of who have died of covid there are many more to…",1,5
"rt same fam",1,5
"ty moon <u+><u+fef><u+fd>",0,5
"i miss promising myself i was going to go then feeling too tired or being too busy to actually go <u+f>",0,5
"and i dont care if you dont care i want people to call me by the proper fucking pronouns…",1,5
"lmfaooo nice",1,5
"resurfacing – concrete coating – concrete repair pool remodeling arizona az ",0,5
"check out @<u+b>urltv on caffeine caffeinetv",1,5
"rt ""theres no language barrier when it comes to music we also listen to songs of various languages that we dont understand mu…",1,5
"gal thank you ",1,5
"rt fmr gop florida attorney general and secretary of state jim smith endorses for president “there are times when yo…",1,5
"wait omg me too my target didn’t have it",1,5
"literally all they care about is money they dont give one about people getting covid all they want is…",1,5
"rt let me be clear hardworking americans should not be paying more in federal income taxes than amazon or netflix it’s time f…",1,5
"rt haii <u+f> mamavote izone",1,5
"so cuteee",1,5
"rt enhypen border day one concept photo dusk ver <u+c><u+cd> jungwon borderdayone dusk",1,5
"car accidents aren’t contagious",1,5
"weston weston weston",0,5
"rt rich paul’s response to critics of klutch’s proday",1,5
"one twit stated that my ""vote gabb tweets"" especially the lawn signs made a mockery of gabb despite the fact th…",0,5
"rt your ability to pray and to stay in the lords secrete place of fellowship when you really have no desire to or just…",1,5
"same",1,5
"wow odd tests great work queensland <u+f> you’re seriously brainwashed by this ‘leader’ if you th…",1,5
"rt inayat updates happy halloween atiny i vote ateez for worldwide fan’s choice mamavote th…",1,5
"rt true fans stand up <u+f> its your time to take on the challenge",1,5
"rt bueno hagan stream a the black cat nero i vote ateez for worldwide fans’ choice mamavote",1,5
"do you remember the general election ? “i want the people of the north to know that we in the conserva…",1,5
"rt <u+>moa rt this tweet<u+> i vote for txt for worldwide fan choice mamavote txt members bighit",1,5
"a book that villifies law enforcement and pushes more of racial bullsht",1,5
"being alive just feels good as fuck we here",0,5
"rt they are nothing but thugs",1,5
"needavacay right now yes",1,5
"rt i can’t wait for trump to lose whinerinchief",1,5
"obvio",0,5
"rt daily vote <u+f><u+> mamavote ateez",1,5
"rt been waiting for this to come out so i can whineeeee my waisttttt <u+ff> thank you for having me and congrats <u+f>",1,5
"rt if i ask for help just know i done bout died tryna do it myself",1,5
"me and you and some hennessy",0,5
"twitters threats to the post echo those of authoritarian states — and the media shrugs via",1,5
"lmfaooo",0,5
"who is that woman and how much does she get paid?",0,5
"we love u sm im getting emotional???",1,5
"ormesbybroad time am max temp °c max wind wind mph pressure mb hot",0,5
"rt baekhyun ig video “ <u+ae><u+b><u+e><u+b><u+f> <u+ae>” why is he being so cute with his caption <u+f>",1,5
"rt i’m so proud of my man i hope he continues to succeed and continues to grow and prosper with happiness",1,5
"need big money moves",0,5
"rt the fact that this virus will still be here next year isn’t sitting right with me <u+f>",1,5
"rt saint laurent spring summer collection detail",1,5
"and because you’re brilliant",1,5
"rt my final blacktober piece i wanted to end with sonic because in middle school sonic was what kickstarted my journey in art…",1,5
"heart my week was so hectic and long so happy its friday and the weekend coming upisabella hope your…",1,5
"rt its her secret service agent",1,5
"rt introverts need time to recover from social interaction because they’ve been acting all day",1,5
"xbaby nooooo come backkkk",1,5
"the mad lad",0,5
"rt trump’s shady florida operative is seeking detailed chain of custody info re paper ballots and voting machines are …",1,5
"“but dragons are cool just approach them with a healthy dose of caution and respect and you’ll be f…",1,5
"rt i’m trying to read the notes mg wrote by themselves and the part i got from p’mew’s till now made me so emotional<u+fa> m “i wan…",1,5
"aaaaaart day",0,5
"rt uk going into full national lockdown next week take note murdoch and morrison are you two gunna give them heaps like you did…",1,5
"rt when you’re in the middle of getting ready but get called for a mission <u+f>",1,5
"sisoy dont worry",1,5
"rt im not going to shut down the country im not going to shut down the economy im going to shut down the virus",1,5
"thfc i didn’t know any of the poems <u+f><u+f> i would’ve been screwed if i actually had too take them test",1,5
"happy halloween <u+>",0,5
"rt enhypen border day one concept photo dusk ver <u+c><u+cd> jungwon borderdayone dusk",1,5
"let’s go smackdown",0,5
"a hot tip for everyone in these trying times and i made tater tot poutine as a canada day joke thr…",1,5
"matata okie dokie cutie pie love of my life hot stuff baby honey sweetie swe…",1,5
"i’ve not been productive today at all not sleeping last night threw me all the way off",0,5
"please marry me",1,5
"rt <u+b><u+fef>sneakerpings isnt your normal cook group we dont have or even but lowkey flips providers to ensure that our…",1,5
"ugh unstand my brother does the same thing when he is over <u+f><u+f>",1,5
"dont stop now bluelets do this thing",0,5
"rt breaks mosaic basketball hanger follower giveaway thank you guys for the support last giveaway you guys got me over sub…",1,5
"he was hit in the head a lot",1,5
"i’m telling you <u+f><u+f> very unromantic set of human beings",1,5
"hope so",1,5
"rt one thing about me is i’m gonna cry",1,5
"rt <u+><u+f>commission batch<u+f><u+>",1,5
"i voted",1,5
"rt <u+c><u+fef>reminder<u+c><u+fef> i’ve seen many l’s are using the wrong ht for exo on mama remember to use the correct format or else…",1,5
"that’s why boris is an dmf",1,5
"brian you still got it bro",1,5
"rt gm please help rt mama’s fan choice awards mamavote treasure",1,5
"rt bts good morning <u+><u+fef> its a beautiful saturday im voting for bts for favorite social artist at the amas twt",1,5
"rt seriously important to keep checking up on the people you care about through these shit times being alone with ur thought…",1,5
"rt some of y’all be so fine <u+f>",1,5
"rt callout is a transphobe who has stated that he doesnt want to date someone whos trans because they ""aren…",1,5
"jesus fuck character assassination on the timeline",1,5
"open the country",0,5
"clacton on sea live weather am temp c rh % wind mph sw rain pressure mb falling slowly clacton essex",0,5
"this is the diet",0,5
"rt im pinching myself i got to talk to last night the work she is doing to get out the vote especially here in…",1,5
"holy shit",0,5
"rt so much value in remaining silent patient and selective",1,5
"sumpter what an abomination then trying to invoke math and religion abomination",1,5
"rt as our nation fights this coronavirus we must insist on facts and truth — and the truth is that the trump administration…",1,5
"seems like you only got that way when things aint go ya way",0,5
"rt i dont need a lecture from on health care scsen",1,5
"i love corey",0,5
"rt ""i cannot predict what a president biden will accomplish what i can say with certainty is that he will advance his agenda…",1,5
"rt need your help identifying suspects who scaled a fence at a langford construction site in the block pea…",1,5
"rt fraudster attempts to register dead americans as dem voters in florida",1,5
"or alternative sage",0,5
"thank you you too love",1,5
"justice for thank you for your service sir",1,5
" i didn’t even know thank you for letting me know gen",1,5
"the powder for dey more useful for naija politicians side <u+f> nobodyiconsremix na done deal already na",1,5
"why is everyone saying this <u+fd>",1,5
"rt mentally im here",1,5
"rt no its because you opposed expanding medicaid stop playing politics senator",1,5
"what a great result",1,5
"all these damn updatesi just wanna play the game dammit <u+fb>",0,5
"rt happy halloween from snaktooth island <u+fb><u+f>",1,5
"me when i see u <u+fce><u+ffb><u+d><u+><u+fef>",1,5
"another lockdown",0,5
"i cant unsee the concept",1,5
"tw covid corona virus if bris wants another lockdown why doesnt he put it in place right away instead of wai…",0,5
"swinford so essential shops will close? <u+f>",1,5
"hawaii",0,5
"see here’s the thing “being against your religion” means jack shit also the bibl…",1,5
"rt remember my fellow americans joe biden stands for trunalimunumaprzure",1,5
"rt hit that like themandalorian",1,5
" i love this",1,5
"goodbye",1,5
"that sounds fun lets do it",1,5
"omg youre the best ever",1,5
"this skin is hot trash<u+f>",1,5
"if hypnos was romanceable we would be married by now just saying",0,5
"we gave clapper an order of australia lol what a joke",1,5
"i will help uuuu",1,5
"rt quite simply one of the greatest ever mancunians from humble beginnings to a european and world cup winner much loved…",1,5
"rt hi where is bill barr? seriously i think this is a major story where is he and what is he up to? rr",1,5
"we don’t deserve artak <u+><u+fef>",0,5
"rt actual photo behind",1,5
"rt even tho mnet is a snake blackpink appearance on mama will surely be the highlight of the show and will create so muc…",1,5
"arianas grammy is on a pile of yarn helpfjcj",0,5
"let’s gooo kk d",1,5
"you are hot spanish bread",1,5
"rt “life goes on” a yoongi thread",1,5
"love and light to you as you navigate this awful upheaval lean on any of us that you trust <u+><u+fef><u+><u+fef><u+><u+fef>",1,5
"rt im voting for nct for favorite social artist at the amas nct ",1,5
"eating taco bell but will be on soon",0,5
"wait are u on your first round",1,5
" is this serious or just a ploy to annoy people ?",1,5
"rt posting this just because yesterday was tracee ellis ross’ birthday and today is nia long’s birthday",1,5
"rt incredibly good at being a chameleon good for her",1,5
"rt i kneel before you mommy <u+><u+fd><u+> quick sketch with the girl who stole my heart<u+f><u+> and yes she is a snake instead of a human…",1,5
"rouges i wish and can i be your cosette?",1,5
"luma pe ohhh right that idk how i forgot about this already lol",1,5
"rt words stick foreal say some crazy shit to me and we’ll never speak again",1,5
"yo what",1,5
"fanibbals were feeling kinda hungry",0,5
"wait",0,5
"rt as i watch a conservatives by and large shrug their shoulders or simply ignore the mass death around us im starting to g…",1,5
"kny chapter <u+f>",0,5
"rt retweet if you are ready to win everywhere we are doing a radio buy in texas alabama and mississippi the ad was recorde…",1,5
"no workout for days na mehehehe",0,5
"rt twt i vote for taehyung from bts twt for bousnidstars bousnid",1,5
"wind mph nw barometer in rising rapidly temperature °f rain today in humidity %",0,5
"“i love my fans” i love u sfm",0,5
"my bad force of habit<u+f>",1,5
"rt amerita el drunk karaoke moment me conformo con getting drunk tho",1,5
"yes some of these themes are hitting close to home too <u+><u+><u+><u+><u+><u+>",1,5
"i need your help to win real cash in the free luckytimeapp enter for free with my lucky code po and have chan…",0,5
" treasure is treasure treasure <u+db><u+b><u+c> ekpbestmalerookiestreasure",1,5
"drop a and feed the whole the westsidelol",1,5
"rt smoky<u+fa> <u+cfc><u+dcc>",1,5
"im hyped chicken and fries lol i love it",0,5
"rt who wanna play among us",1,5
"newest contender for worst tweet ever created",0,5
"rt one of the most important issues is law and order biden stands with the rioters and looters i stand with the heroes of…",1,5
"rt just update for the next batch<u+> we have long kimono medium kimono short kimono <u+f> you can check out our instagram",1,5
" i wanna talk to him help",0,5
"rt ill do it heres a picture of my dog with your hoodie on",1,5
"rt tonight will be talking to and about important issues around this election…",1,5
"i am a genius what can i say",1,5
"rt stalwart republican fasano endorses biden calls trump an ‘embarrassment’ ‘he’s taken out of the white house decency and c…",1,5
"rt underhill i guess he has until sunday the bears originally had him as questionable on the report which isnt allowed seems the…",1,5
"<u+f> this shit is a joke",0,5
"this is from fox news",1,5
"homie afb has been doing what to my limited knowledge are very strong translations of moullets c…",1,5
"rt andollie laurelandhardy go for ice cream",1,5
"rt bees butterflies bats and birds are all in serious danger a un sponsored study the world’s pollinators — and the crops t…",1,5
"tales of wind embark on your journey and join adventures together with your friends",0,5
"in merlin armin not sure what you mean i’ve been months ah…",1,5
"that’s ur emoji hdbfkdks",1,5
"it’s not mediocre but ctrl is great too <u+f>",1,5
"ahhh halloween another year of girls being fboys or slutty cops and guys being brads and chads <u+f>",0,5
"just smear campaign by another losing president",1,5
"what role u play?",1,5
"rt i don’t trust anyone who talks bad about megan thee stallionwhat is there to hate",1,5
"rt yaaaaallllllll george lopez reunion <u+fd><u+fd><u+fd><u+fd>",1,5
"don charles not shocked if derek war chisora knockout alexander usyk s",1,5
"rt i’m a maga teen <u+fb> <u+ffa><u+ff> <u+faa>",1,5
"exactly<u+f><u+f> <u+f><u+f><u+f><u+f>",1,5
"today reward is spins for who follow this steps retweet this post comment ""done"" claim rewards link bel…",0,5
"idk depends would he have met with george wallace ?",1,5
"catober day candy corn",1,5
"bts halloween dance practice <u+ff>",0,5
"they just talk to you when they need",0,5
"oooo i have good ideas for costumes",1,5
"arguing with who?",1,5
"for all im currently critical of the conservatives i will never forget that the labour party wanted the country u…",0,5
"rt you know halloween is my favorite holiday of the year <u+fb><u+fa><u+f><u+><u+fef><u+f> and i hope you and your family and friends will do it safely with m…",1,5
"but nobody talks about how more than million cases of trunalimunumaprzure have now been confirmed in the us",1,5
"the name comes from ""kahcree"" a party member i was trolling when i came up with this one hes an aarakocra ""ka…",0,5
"rt notice biden’s language re riots first he says violence shouldn’t be tolerated then justifies it by saying “but these…",1,5
"rt politicians bureaucrats must be reminded that theyre granted a temporary privilege to govern by the will of free citizens a…",1,5
"rt welcome to the armychampionship who will be the champion?",1,5
" minute",0,5
"rt <u+fc>current standing b % <u+b><u+fef> exo % <u+b><u+fef> n % <u+b><u+fef> as of kst i vote for exo for favorite socia…",1,5
"rt so let me get this straight it’s fine for il to allow youth sports u of i football and out…",1,5
"you can have one of my eclairs if you want",0,5
"rt you are now transgender",1,5
"vegetables im stacking broccoli and cheddar bih<u+fb>",0,5
"@chloeswarbrick literally nobody is lacing cannabis with p youve fallen for the hysteria and false inf…",1,5
"the last song elton john",0,5
"rt in lakota culture whenever bald eagles circle overhead it’s always a sign of imminent victory <u+f><u+f>",1,5
"right ",1,5
"rt feeling you gotta be the same person whether you got $ in your pocket or $",1,5
"hehe ok i will in the gc",1,5
"i’m exhausted and i have to get up even earlier for tomorrow’s shift someone take me out please",0,5
"my family thinks i’m “snobby” because i don’t have any tolerance for their toxicity",0,5
"rt madeinlagos now has over million streams on audiomack making it the fastest for any nigerian act in less than hours…",1,5
"rt @benjvmins i’m also one of those bitches so naturally",1,5
"luv u back<u+fd><u+fd>",1,5
"rt as time moved along new york city responded in an incredible way non essential tasks were put on hold masks were wo…",1,5
"rt trump appears very tired at this rally in mn slowly moving through his prepared remarks",1,5
"thank you dj <u+a><u+fef><u+a><u+fef><u+a><u+fef>",1,5
"it’s just means what the survey shows",1,5
"happened upon seven kissing geoff “” o “” brain seems to be loading slowly please wait",1,5
"rt rt<u+e><u+e><u+e><u+ef><u+ed><u+e> <u+><u+fee>+make friend imgxnct",1,5
"unions representing hundreds of thousands of workers prepare for general strike if trump subverts election results…",0,5
"usps is really really pissing me off",0,5
"rt but more of that later one of the first big programs organised by the new bjp agp govt was the event ""namami brahmaput…",1,5
